SNO,TEAM,MAT,WON,LOST,NR,TIE,PTS,WIN%,NET RR,FOR,AGAINST,FOR_RUNS,FOR_OVERS,AGAINST_RUNS,AGAINST_OVERS
1,PHSOB 3,18,10,4,4,0,48.0,71.43%,0.4189,1751/455.0,1581/461.0,1751,455.0,1581,461.0
2,IRENE VILLAGERS 3,18,10,5,3,0,46.0,66.67%,0.6681,2653/549.4,2240/538.4,2653,549.4,2240,538.4
3,HARLEQUINS 3,18,10,5,3,0,46.0,66.67%,0.5707,2778/576.5,2458/579.0,2778,576.5,2458,579.0
4,SINOVILLE 4,18,8,5,5,0,46.0,61.54%,-1.2346,1200/376.0,1198/270.4,1200,376.0,1198,270.4
5,TUT 3,18,10,4,4,0,44.0,71.43%,1.7243,2529/444.3,1863/469.5,2529,444.3,1863,469.5
6,CBCOB 3,17,7,4,6,0,40.0,63.64%,1.1874,1912/345.4,1920/442.0,1912,345.4,1920,442.0
7,TUKS 5,18,7,8,3,0,34.0,46.67%,-0.7393,2055/500.4,2434/502.3,2055,500.4,2434,502.3
8,SINOVILLE 3,18,6,8,4,0,32.0,42.86%,-1.3204,2478/590.0,3039/550.3,2478,590.0,3039,550.3
9,CENTURION KAVALIERS 3,17,3,11,3,0,18.0,21.43%,-2.1079,1119/420.0,1442/302.1,1119,420.0,1442,302.1
10,PHSOB 4,18,0,17,1,0,2.0,0.00%,-5.3993,808/775.0,1108/172.0,808,775.0,1108,172.0
