SNO,TEAM,MAT,WON,LOST,NR,TIE,PTS,WIN%,NET RR,FOR,AGAINST,FOR_RUNS,FOR_OVERS,AGAINST_RUNS,AGAINST_OVERS
1,PHSOB 3,18,14,2,2,0,60.0,87.50%,2.0094,2004/328.4,1456/356.1,2004,328.4,1456,356.1
2,CBCOB 3,18,11,3,4,0,52.0,78.57%,2.8203,1940/255.3,1711/358.3,1940,255.3,1711,358.3
3,TUT 3,18,9,4,5,0,46.0,69.23%,-0.7478,1142/258.3,1331/257.4,1142,258.3,1331,257.4
4,SINOVILLE 4,18,9,4,5,0,44.0,69.23%,0.3046,1599/264.5,1504/262.2,1599,264.5,1504,262.2
5,SINOVILLE 3,18,8,5,5,0,40.0,61.54%,-0.491,1108/225.0,1084/200.1,1108,225.0,1084,200.1
6,TUKS 5,18,6,8,4,0,32.0,42.86%,0.3026,2246/364.3,2124/362.3,2246,364.3,2124,362.3
7,IRENE VILLAGERS 3,18,3,6,9,0,24.0,33.33%,0.0038,1574/300.0,1475/281.2,1574,300.0,1475,281.2
8,TUKS 6,18,3,9,6,0,24.0,25.00%,-3.5566,1031/274.5,1218/166.4,1031,274.5,1218,166.4
9,POLICE 3,18,1,11,6,0,12.0,8.33%,-8.1114,232/320.0,972/110.0,232,320.0,972,110.0
10,REFILWE 1,18,0,12,6,0,6.0,0.00%,-12.6596,83/315.0,84/6.3,83,315.0,84,6.3
