SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
1,576,32995,Kyle Kunneke,2985826,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,14,,10,68.5,257,26,31/ 5,6,276,3.73,9.88,15.9,0,1,1,28,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
2,576,32995,Christoff  Pompie Helm,2985831,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,13,,13,89.0,474,23,59/ 5,6,308,5.33,20.61,23.2,0,2,1,39,2,2023 Titans Second League
,576,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
3,576,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,13,,13,72.4,392,21,36/ 4,3,281,5.39,18.67,20.8,0,2,0,31,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
4,576,32995,Gerhard De Bruin,2936835,TUKS 5,,TUKS 5,12,,12,71.0,326,18,11/ 5,10,286,4.59,18.11,23.7,0,0,1,19,1,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
5,576,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,16,,15,68.1,344,17,19/ 3,6,268,5.05,20.24,24.1,0,0,0,37,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
6,576,32995,Steven Meyburgh,2937220,PHSOB 3,,PHSOB 3,6,,6,40.0,170,16,27/ 4,4,173,4.25,10.62,15.0,0,2,0,14,1,2023 Titans Second League
,576,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
7,576,32995,Albert Myburgh,4024779,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,6,,6,43.3,147,15,23/ 4,6,190,3.38,9.80,17.4,0,1,0,7,3,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
8,576,32995,Rigardt Saaiman,3729566,CBCOB 3,,CBCOB 3,7,,7,46.0,205,13,38/ 5,0,163,4.46,15.77,21.2,0,0,1,3,2,2023 Titans Second League
,576,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
9,576,32995,Jacques Van Rooyen,3795662,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,,7,54.3,230,12,19/ 3,4,220,4.22,19.17,27.2,0,0,0,24,0,2023 Titans Second League
,576,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
10,576,32995,Donovan du Toit,3713457,TUKS 5,,TUKS 5,13,,11,50.5,290,12,24/ 3,2,199,5.70,24.17,25.4,0,0,0,24,0,2023 Titans Second League
,576,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2023 Titans Second League
