SNO,LEAGUE_ID,CLUB_ID,TEAM,TEAM_URL,TEAM_ID,TEAM_CLUB_ID,MAT,WON,LOST,NR,TIE,PTS,WIN%,NET RR,FOR,AGAINST,FOR_RUNS,FOR_OVERS,AGAINST_RUNS,AGAINST_OVERS,League Name
1,576,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3299&clubId=32995,3299,32995,16,11,3,2,0,48,78.57%,1.4791,2127/410.1,1857/501.0,2127,410.1,1857,501.0,2023 Titans Second League
2,576,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3305&clubId=32995,3305,32995,16,10,6,0,0,40,62.50%,0.2075,2473/487.4,2645/543.5,2473,487.4,2645,543.5,2023 Titans Second League
3,576,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3300&clubId=32995,3300,32995,16,10,6,0,0,40,62.50%,0.8067,3323/590.0,2613/541.3,3323,590.0,2613,541.3,2023 Titans Second League
4,576,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,16,9,5,2,0,40,64.29%,0.7711,3193/548.4,2902/574.5,3193,548.4,2902,574.5,2023 Titans Second League
5,576,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3302&clubId=32995,3302,32995,16,6,8,2,0,28,42.86%,-1.1597,2062/550.5,2253/459.3,2062,550.5,2253,459.3,2023 Titans Second League
6,576,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,16,6,9,1,0,26,40.00%,-1.3641,2280/622.5,2437/485.0,2280,622.5,2437,485.0,2023 Titans Second League
7,576,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,16,6,9,1,0,26,40.00%,-0.7046,2643/586.2,2766/530.4,2643,586.2,2766,530.4,2023 Titans Second League
8,576,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,16,5,10,1,0,22,33.33%,-0.5236,2403/562.4,2724/568.1,2403,562.4,2724,568.1,2023 Titans Second League
9,576,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,16,4,11,1,0,18,26.67%,-1.0290,2516/638.1,2823/567.5,2516,638.1,2823,567.5,2023 Titans Second League
10,576,32995,POLICE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3301&clubId=32995,3301,32995,-,-,-,-,-,-,-,-,-,-,-,,-,,2023 Titans Second League
