SNO,LEAGUE_ID,CLUB_ID,MATCH_TYPE,DATE,TEAM_ONE,TEAM_ONE_URL,TEAM_ONE_ID,TEAM_ONE_CLUB_ID,TEAM_TWO,TEAM_TWO_URL,TEAM_TWO_ID,TEAM_TWO_CLUB_ID,RESULT,SCORES_SUMMARY_RAW,SCORECARD_URL,POINTS,SCORE_SUMMARY_TEAM_1,SCORE_SUMMARY_TEAM_1_SCORE,SCORE_SUMMARY_TEAM_2,SCORE_SUMMARY_TEAM_2_SCORE,League Name
72,576,32995,League,04/07/2024,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3302&clubId=32995,3302,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,Abandoned.,SINOVILLE 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=5042&clubId=32995,2,SINOVILLE 3,0/0(0.0),,,2023 Titans Second League
71,576,32995,League,04/06/2024,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,SINOVILLE 4 won by 8 Wickets,CBCOB 3: 131/10(29.0) SINOVILLE 4: 133/2(16.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=5043&clubId=32995,4,CBCOB 3,131/10(29.0),SINOVILLE 4,133/2(16.0),2023 Titans Second League
70,576,32995,League,03/31/2024,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,SINOVILLE 4 won by 9 Wickets,HARLEQUINS 3: 264/8(45.0) SINOVILLE 4: 265/1(21.5),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4935&clubId=32995,4,HARLEQUINS 3,264/8(45.0),SINOVILLE 4,265/1(21.5),2023 Titans Second League
69,576,32995,League,03/30/2024,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3306&clubId=32995,3306,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,HARLEQUINS 3 won by 100 Runs,HARLEQUINS 3: 276/7(45.0) IRENE VILLAGERS 4: 176/10(34.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4934&clubId=32995,0,HARLEQUINS 3,276/7(45.0),IRENE VILLAGERS 4,176/10(34.0),2023 Titans Second League
68,576,32995,League,03/24/2024,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3300&clubId=32995,3300,32995,PHSOB 3 won by 6 Wickets,SINOVILLE 4: 162/10(30.0) PHSOB 3: 164/4(16.3),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4916&clubId=32995,4,SINOVILLE 4,162/10(30.0),PHSOB 3,164/4(16.3),2023 Titans Second League
67,576,32995,League,03/23/2024,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3298&clubId=32995,3298,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3302&clubId=32995,3302,32995,Forfeited. Winner: CBCOB 3,CBCOB 3: 0/0(0.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4933&clubId=32995,0,CBCOB 3,0/0(0.0),,,2023 Titans Second League
66,576,32995,League,03/23/2024,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3307&clubId=32995,3307,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3305&clubId=32995,3305,32995,TUT 3 won by 2 Wickets,IRENE VILLAGERS 4: 222/9(40.0) TUT 3: 224/8(39.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4911&clubId=32995,4,IRENE VILLAGERS 4,222/9(40.0),TUT 3,224/8(39.1),2023 Titans Second League
65,576,32995,League,03/23/2024,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3299&clubId=32995,3299,32995,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,IRENE VILLAGERS 3 won by 45 Runs,IRENE VILLAGERS 3: 226/9(45.0) SINOVILLE 4: 181/9(45.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4910&clubId=32995,0,IRENE VILLAGERS 3,226/9(45.0),SINOVILLE 4,181/9(45.0),2023 Titans Second League
64,576,32995,League,03/23/2024,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3300&clubId=32995,3300,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,TUKS 5 won by 2 Wickets,PHSOB 3: 103/10(36.4) TUKS 5: 105/8(23.0),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4906&clubId=32995,4,PHSOB 3,103/10(36.4),TUKS 5,105/8(23.0),2023 Titans Second League
63,576,32995,League,03/17/2024,SINOVILLE 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3303&clubId=32995,3303,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=3304&clubId=32995,3304,32995,SINOVILLE 4 won by 14 Runs,SINOVILLE 4: 297/6(45.0) TUKS 5: 283/10(41.1),https://cricclubs.com/TitansCricket/viewScorecard.do?matchId=4811&clubId=32995,0,SINOVILLE 4,297/6(45.0),TUKS 5,283/10(41.1),2023 Titans Second League
