SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
1,Johan Nel,TUKS 5,,TUKS 5,8,8,1,424,429,60.57,98.83,116,3,0,0,1,0,10,43,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
2,Paul Gouws,CBCOB 3,,CBCOB 3,5,5,1,309,265,77.25,116.60,90,0,2,4,1,0,12,26,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
3,Johan Broekman,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,7,1,306,507,51.00,60.36,82,0,2,2,2,0,9,14,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
4,Franco Schmidt,CBCOB 3,,CBCOB 3,6,6,0,223,210,37.17,106.19,64,0,0,1,4,0,12,22,2024 Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
5,Gerhard Swanepoel,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,7,0,223,264,31.86,84.47,122,1,0,1,0,1,4,20,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
6,Tiaan Engelbrecht,TUKS 5,,TUKS 5,13,12,2,220,259,22.00,84.94,74,0,0,1,1,0,6,20,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
7,Marcel Cilliers,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,8,1,209,182,29.86,114.84,55,0,0,1,2,0,8,26,2024 Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
8,Charl Prinsloo,TUT 3,,TUT 3,3,3,0,185,259,61.67,71.43,113,1,0,1,0,0,2,24,2024 Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,2024 Titans Second League
9,Riccardo Oosthuizen,TUKS 5,,TUKS 5,10,9,0,184,236,20.44,77.97,46,0,0,0,4,3,1,24,2024 Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,2024 Titans Second League
10,Elro Grobeler,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5,4,1,183,150,61.00,122.00,81,0,1,1,2,0,11,14,2024 Titans Second League
