SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,BATTING_RANK,BOWLING_RANK,FIELDING_RANK,OTHER_RANK,MOM,TOTAL_RANK,League Name
1,790,32995,Johan Nel,4655263,TUKS 5,,TUKS 5,4558,8,550,120,90,100,4,860,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
2,790,32995,Tiaan Engelbrecht,2936837,TUKS 5,,TUKS 5,4558,13,268,475,58,50,2,851,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
3,790,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,4558,13,177,384,32,25,1,618,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
4,790,32995,Nevada Jacobs,4673820,CBCOB 3,,CBCOB 3,4552,8,14,515,40,25,1,594,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
5,790,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,4558,10,116,405,40,25,1,586,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
6,790,32995,Rigardt Saaiman,3729566,CBCOB 3,,CBCOB 3,4552,9,84,415,32,25,1,556,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
7,790,32995,Donovan du Toit,3713457,TUKS 5,,TUKS 5,4558,11,187,197,74,25,1,483,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
8,790,32995,Elro Grobeler,4655709,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,5,250,208,0,25,1,483,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
9,790,32995,Piet Botha,4063611,SINOVILLE 3,,SINOVILLE 3,4556,4,113,299,36,25,1,473,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
10,790,32995,Stanley Fabri,3056139,SINOVILLE 4,,SINOVILLE 4,4557,10,120,298,52,0,0,470,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
11,790,32995,Johan Broekman,4756705,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,7,356,63,20,25,1,464,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
12,790,32995,Riccardo Oosthuizen,2936842,TUKS 5,,TUKS 5,4558,10,215,199,30,0,0,444,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
13,790,32995,Paul Gouws,3056110,CBCOB 3,,CBCOB 3,4552,5,429,-1,16,0,0,444,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
14,790,32995,Jacques Van Rooyen,3795662,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,8,60,350,24,0,0,434,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
15,790,32995,Elgun Boecker,4702810,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,9,105,301,24,0,0,430,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
16,790,32995,Hendre Du toit,2987477,SINOVILLE 3,,SINOVILLE 3,4556,7,140,235,52,0,0,427,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
17,790,32995,Brian Kershaw,4688792,PHSOB 3,,PHSOB 3,4555,3,107,311,0,0,0,418,2024 Titans Second League
,790,32995,PHSOB 3,,,,,,,,,,,,,2024 Titans Second League
18,790,32995,Franco Schmidt,4673821,CBCOB 3,,CBCOB 3,4552,6,303,86,8,0,0,397,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
19,790,32995,Gerhard Swanepoel,3713453,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,7,281,0,76,25,1,382,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
20,790,32995,Piet Botha,4198490,SINOVILLE 4,,SINOVILLE 4,4557,3,4,306,16,50,2,376,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
21,790,32995,Ettienne Tait,2939149,HARLEQUINS 3,,HARLEQUINS 3,4553,3,129,215,0,25,1,369,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
22,790,32995,Andre Kruyshaar,3772081,SINOVILLE 3,,SINOVILLE 3,4556,6,171,168,16,0,0,355,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
23,790,32995,Matt Vd Mescht,4702807,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,4,189,102,24,25,1,340,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
24,790,32995,Nico de Bruyn,3180581,TUKS 5,,TUKS 5,4558,9,120,196,24,0,0,340,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
25,790,32995,Marcel Cilliers,3713449,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,8,291,0,16,25,1,332,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
26,790,32995,Elandré van den Berg,3713456,TUKS 5,,TUKS 5,4558,8,-2,312,16,0,0,326,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
27,790,32995,Nico Minnaar,3713344,TUT 3,,TUT 3,4559,3,30,263,32,0,0,325,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,2024 Titans Second League
28,790,32995,Ludwig Erasmus,4673573,SINOVILLE 3,,SINOVILLE 3,4556,7,247,0,68,0,0,315,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
29,790,32995,Chris Coetzee,3719304,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,4,178,124,8,0,0,310,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,,2024 Titans Second League
30,790,32995,Pieter Roos,2939189,HARLEQUINS 3,,HARLEQUINS 3,4553,8,162,74,36,25,1,297,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
31,790,32995,Lehlohonolo Moshoati,3266899,TUKS 5,,TUKS 5,4558,4,142,120,28,0,0,290,2024 Titans Second League
,790,32995,TUKS 5,,,,,,,,,,,,,2024 Titans Second League
32,790,32995,Berno Klopper,3180553,SINOVILLE 3,,SINOVILLE 3,4556,7,215,39,30,0,0,284,2024 Titans Second League
,790,32995,SINOVILLE 3,,,,,,,,,,,,,2024 Titans Second League
33,790,32995,James Van der merwe,4892050,SINOVILLE 4,,SINOVILLE 4,4557,2,52,204,0,25,1,281,2024 Titans Second League
,790,32995,SINOVILLE 4,,,,,,,,,,,,,2024 Titans Second League
34,790,32995,Charl Prinsloo,3018226,TUT 3,,TUT 3,4559,3,238,0,16,25,1,279,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,2024 Titans Second League
35,790,32995,Wayne Scott,3056109,CBCOB 3,,CBCOB 3,4552,2,231,0,8,25,1,264,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
36,790,32995,Simion Muller,3783164,CBCOB 3,,CBCOB 3,4552,1,159,70,8,25,1,262,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
37,790,32995,Divan Potgieter,4673570,TUT 3,,TUT 3,4559,3,-2,252,8,0,0,258,2024 Titans Second League
,790,32995,TUT 3,,,,,,,,,,,,,2024 Titans Second League
38,790,32995,Wendell Plaatjies,4673818,CBCOB 3,,CBCOB 3,4552,7,130,111,12,0,0,253,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
39,790,32995,Adriaan Venter,3673677,CBCOB 3,,CBCOB 3,4552,4,230,20,0,0,0,250,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
40,790,32995,Jaydwin Venske,3031828,CENTURION KAVALIERS 3,,CENTURION KAVALIERS 3,4560,3,129,111,8,0,0,248,2024 Titans Second League
,790,32995,CENTURION KAVALIERS 3,,,,,,,,,,,,,2024 Titans Second League
41,790,32995,Lessego Teffo,4196334,HARLEQUINS 3,,HARLEQUINS 3,4553,4,208,27,12,0,0,247,2024 Titans Second League
,790,32995,HARLEQUINS 3,,,,,,,,,,,,,2024 Titans Second League
42,790,32995,Gunter Geyer,4655258,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4554,3,139,95,8,0,0,242,2024 Titans Second League
,790,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,2024 Titans Second League
43,790,32995,David Fourie,3018346,CBCOB 3,,CBCOB 3,4552,6,217,0,24,0,0,241,2024 Titans Second League
,790,32995,CBCOB 3,,,,,,,,,,,,,2024 Titans Second League
