SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
1,949,32995,Stefan Strydom,2985833,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,12,11,1,416,392,41.60,106.12,87,0,1,3,4,0,12,50,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
2,949,32995,Brian Kershaw,4688792,PHSOB 3,,PHSOB 3,5428,9,9,1,393,381,49.12,103.15,76,0,1,4,2,1,21,33,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
3,949,32995,Waldemar Bodenstein,6299549,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,10,10,2,234,292,29.25,80.14,74,0,0,2,1,2,4,29,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
4,949,32995,Werner Pretorius,4688690,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,3,3,0,215,144,71.67,149.31,153,1,0,1,0,0,18,11,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
5,949,32995,Francke Botha,6390022,HARLEQUINS 3,,HARLEQUINS 3,5426,4,4,0,215,222,53.75,96.85,100,1,0,1,0,0,6,24,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
6,949,32995,Hendrik Ferreira,4891854,TUT 3,,TUT 3,5431,7,6,1,208,241,41.60,86.31,84,0,1,2,1,1,8,18,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
7,949,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,5430,10,10,2,201,236,25.12,85.17,56,0,0,1,2,1,3,24,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
8,949,32995,Donovan du Toit,3713457,TUKS 5,,TUKS 5,5430,9,7,0,199,212,28.43,93.87,76,0,1,1,3,0,12,17,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
9,949,32995,Michael Kershaw,6297242,PHSOB 3,,PHSOB 3,5428,9,9,2,198,169,28.29,117.16,57,0,0,1,1,0,13,19,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
10,949,32995,Johan Nel,4655263,TUKS 5,,TUKS 5,5430,10,10,1,190,192,21.11,98.96,81,0,1,1,1,1,8,22,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
11,949,32995,Rivan Stoman,6352780,SINOVILLE 3,,SINOVILLE 3,5429,4,4,0,189,154,47.25,122.73,130,1,0,0,1,0,9,22,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
12,949,32995,Juan Viljoen,4729877,HARLEQUINS 3,,HARLEQUINS 3,5426,11,11,1,180,190,18.00,94.74,36,0,0,0,4,0,3,19,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
13,949,32995,Charl Prinsloo,3018226,TUT 3,,TUT 3,5431,7,6,3,177,287,59.00,61.67,63,0,0,1,3,0,0,25,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
14,949,32995,Brent Hartley,2985828,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,12,11,1,177,365,17.70,48.49,37,0,0,0,3,0,0,20,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
15,949,32995,Emil Rolfes,2936903,PHSOB 3,,PHSOB 3,5428,8,8,1,171,195,24.43,87.69,97,0,1,1,1,2,1,26,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
16,949,32995,Eddie Stephen,6299173,HARLEQUINS 3,,HARLEQUINS 3,5426,7,7,1,167,142,27.83,117.61,95,0,1,1,1,1,11,17,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
17,949,32995,Reinhardt Hamann,6371950,TUKS 5,,TUKS 5,5430,5,5,1,165,123,41.25,134.15,69,0,0,2,1,1,8,13,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
18,949,32995,Nicolas Conradie,6552297,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,5,5,1,162,178,40.50,91.01,122,1,0,0,0,0,8,11,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
19,949,32995,Stefan Van Der Linden,4742893,PHSOB 3,,PHSOB 3,5428,10,9,0,158,275,17.56,57.45,50,0,0,1,2,2,5,9,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
20,949,32995,Ciaron Roundtree,6355841,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,7,7,1,148,119,24.67,124.37,78,0,1,1,1,1,15,4,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
21,949,32995,Wayne Sadler,6336329,TUKS 5,,TUKS 5,5430,8,7,2,146,203,29.20,71.92,83,0,1,1,0,1,4,14,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
22,949,32995,Frits Snyman,2936846,TUKS 5,,TUKS 5,5430,9,8,0,144,206,18.00,69.90,59,0,0,1,0,1,2,16,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
23,949,32995,Arno Louw,6352769,SINOVILLE 3,,SINOVILLE 3,5429,5,5,0,141,194,28.20,72.68,62,0,0,1,2,0,3,16,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
24,949,32995,Henco Murphy,3771718,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,8,8,3,139,180,27.80,77.22,47,0,0,0,2,2,7,14,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
25,949,32995,Dylan Howe-Dreyer,2936902,PHSOB 3,,PHSOB 3,5428,6,6,0,134,169,22.33,79.29,76,0,1,1,1,1,3,17,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
26,949,32995,Ryno Vermaak,6299554,SINOVILLE 3,,SINOVILLE 3,5429,5,5,1,131,122,32.75,107.38,94,0,1,1,1,2,3,11,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
27,949,32995,Ludwig Erasmus,4673573,SINOVILLE 3,,SINOVILLE 3,5429,2,2,0,126,100,63.00,126.00,89,0,1,1,1,0,4,18,2025/2026 TITANS SECOND LEAGUE
,949,32995,SINOVILLE 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
28,949,32995,Ruan Ebersohn,2985830,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,11,9,0,124,226,13.78,54.87,43,0,0,0,1,0,1,15,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
29,949,32995,Werner Pretorius,4756703,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,6,5,1,123,63,30.75,195.24,38,0,0,0,3,1,10,8,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
30,949,32995,Tihardt Kruger,3242942,TUKS 5,,TUKS 5,5430,11,10,1,120,166,13.33,72.29,31,0,0,0,1,2,3,12,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
31,949,32995,Niel Coetzee,3018224,TUT 3,,TUT 3,5431,8,6,1,116,244,23.20,47.54,42,0,0,0,2,0,0,13,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
32,949,32995,David Fourie,3018346,CBCOB 3,,CBCOB 3,5425,3,2,0,113,104,56.50,108.65,94,0,1,1,0,0,4,10,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
33,949,32995,Faf De Villiers,6390021,HARLEQUINS 3,,HARLEQUINS 3,5426,3,3,0,112,140,37.33,80.00,98,0,1,1,0,1,2,10,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
34,949,32995,Stefan Olivier,3729935,TUT 3,,TUT 3,5431,6,5,0,108,125,21.60,86.40,37,0,0,0,2,0,1,16,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
35,949,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,5430,12,10,0,108,169,10.80,63.91,28,0,0,0,1,0,1,11,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
36,949,32995,Henry Cbc,6442337,CBCOB 3,,CBCOB 3,5425,4,4,0,107,138,26.75,77.54,45,0,0,0,2,0,4,10,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
37,949,32995,Stefan Grobler,3018230,TUT 3,,TUT 3,5431,8,5,1,106,61,26.50,173.77,50,0,0,1,0,0,8,10,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
38,949,32995,Callen Stephen,3782749,PHSOB 3,,PHSOB 3,5428,4,4,0,105,147,26.25,71.43,59,0,0,1,1,0,2,12,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
39,949,32995,Rohann Rossouw,6355842,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,7,7,0,105,165,15.00,63.64,39,0,0,0,1,1,2,8,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
40,949,32995,Logan Weetman,6552359,PHSOB 3,,PHSOB 3,5428,1,1,0,103,63,103.00,163.49,103,1,0,0,0,0,6,12,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
41,949,32995,Kyle Kunneke,2985826,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,10,7,5,103,172,51.50,59.88,32,0,0,0,3,0,1,9,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
42,949,32995,Patrick Mouton,6592627,HARLEQUINS 3,,HARLEQUINS 3,5426,1,1,0,100,94,100.00,106.38,100,1,0,0,0,0,2,10,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
43,949,32995,Tiaan Engelbrecht,2936837,TUKS 5,,TUKS 5,5430,11,8,0,99,108,12.38,91.67,30,0,0,0,1,0,4,8,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
44,949,32995,Hayden Van Den Heever,6372013,PHSOB 3,,PHSOB 3,5428,5,5,1,96,118,24.00,81.36,33,0,0,0,2,0,4,10,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
45,949,32995,Henco Murphy,6407257,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,2,2,0,94,92,47.00,102.17,69,0,0,1,1,0,7,7,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
46,949,32995,PJ Van Der Merwe,4854676,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,7,6,1,92,160,18.40,57.50,50,0,0,1,0,1,2,6,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
47,949,32995,Kopano Thema,6570617,HARLEQUINS 3,,HARLEQUINS 3,5426,5,5,1,85,106,21.25,80.19,59,0,0,1,0,0,1,11,2025/2026 TITANS SECOND LEAGUE
