SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
1,949,32995,Divan Potgieter,4673570,TUT 3,,TUT 3,5431,7,7,54.2,192,18,33/ 6,8,234,3.53,10.67,18.1,0,0,2,12,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
2,949,32995,Brandon Polyblank,6336390,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,9,9,51.0,323,16,29/ 5,2,192,6.33,20.19,19.1,0,0,2,30,4,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
3,949,32995,Tiaan Engelbrecht,2936837,TUKS 5,,TUKS 5,5430,11,11,67.5,283,15,13/ 2,9,282,4.17,18.87,27.1,0,0,0,13,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
4,949,32995,Kyle Kunneke,2985826,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,10,9,49.0,177,14,21/ 3,2,179,3.61,12.64,21.0,0,0,0,11,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
5,949,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,5430,10,10,55.0,243,14,32/ 5,5,225,4.42,17.36,23.6,0,0,1,18,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
6,949,32995,Burgert Kloppers,4742888,PHSOB 3,,PHSOB 3,5428,8,8,49.0,217,14,26/ 3,6,213,4.43,15.50,21.0,0,0,0,30,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
7,949,32995,Brian Kershaw,4688792,PHSOB 3,,PHSOB 3,5428,9,9,69.4,252,13,29/ 3,10,291,3.62,19.38,32.2,0,0,0,18,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
8,949,32995,Dewald Basson,3018234,TUT 3,,TUT 3,5431,8,8,55.2,202,13,27/ 4,5,240,3.65,15.54,25.5,0,1,0,18,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
9,949,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,5430,12,10,58.2,279,13,47/ 5,6,240,4.78,21.46,26.9,0,0,1,31,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
10,949,32995,Steven Meyburgh,2937220,PHSOB 3,,PHSOB 3,5428,6,6,44.2,245,13,28/ 4,2,152,5.53,18.85,20.5,0,2,0,14,4,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
11,949,32995,Jacques Van Rooyen,3795662,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,8,8,55.1,195,12,14/ 5,1,229,3.53,16.25,27.6,0,0,1,22,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
12,949,32995,Janro De Bruin,6299640,CBCOB 3,,CBCOB 3,5425,8,8,41.2,158,11,13/ 5,8,189,3.82,14.36,22.5,0,0,1,11,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
13,949,32995,Johan Nel,4655263,TUKS 5,,TUKS 5,5430,10,9,53.3,223,11,11/ 2,6,217,4.17,20.27,29.2,0,0,0,14,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
14,949,32995,Waldemar Bodenstein,6299549,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,10,6,36.5,141,10,9/ 4,4,141,3.83,14.10,22.1,0,1,0,10,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
15,949,32995,Juan Viljoen,4729877,HARLEQUINS 3,,HARLEQUINS 3,5426,11,10,60.0,257,10,20/ 3,4,246,4.28,25.70,36.0,0,0,0,24,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
16,949,32995,Willem Jacobs,5005715,HARLEQUINS 3,,HARLEQUINS 3,5426,9,7,37.5,245,10,36/ 3,0,112,6.48,24.50,22.7,0,0,0,11,6,2025/2026 TITANS SECOND LEAGUE
,949,32995,HARLEQUINS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
17,949,32995,Stiaan Heymans,4673670,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,8,6,17.3,129,10,53/ 6,0,54,7.37,12.90,10.5,0,0,1,16,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
18,949,32995,Regan Pruss,3713341,PHSOB 3,,PHSOB 3,5428,3,3,14.5,72,9,26/ 4,0,59,4.85,8.00,9.9,0,2,0,3,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
19,949,32995,Christoper Bouwer,6407256,PHSOB 3,,PHSOB 3,5428,4,3,21.1,107,9,49/ 4,2,81,5.06,11.89,14.1,0,1,0,3,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
20,949,32995,Eugene Botha,4973974,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,7,5,35.0,204,9,28/ 3,2,120,5.83,22.67,23.3,0,0,0,14,2,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
21,949,32995,Stefan Grobler,3018230,TUT 3,,TUT 3,5431,8,6,39.0,136,8,18/ 3,6,171,3.49,17.00,29.2,0,0,0,17,8,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
22,949,32995,Alec Jordaan,4715851,CBCOB 3,,CBCOB 3,5425,3,3,22.0,85,8,27/ 4,3,99,3.86,10.62,16.5,0,1,0,13,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,CBCOB 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
23,949,32995,Nico Kruger,2936834,TUKS 5,,TUKS 5,5430,2,2,9.0,56,8,44/ 6,0,35,6.22,7.00,6.8,0,0,1,6,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
24,949,32995,Elgun Boecker,4702810,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,3,3,17.3,64,7,22/ 5,1,74,3.66,9.14,15.0,0,0,1,2,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
25,949,32995,Werner Pretorius,4756703,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,6,6,28.0,107,7,31/ 4,1,120,3.82,15.29,24.0,0,1,0,17,1,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
26,949,32995,Barend Pelser,4854733,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5427,4,4,23.2,97,7,22/ 3,2,94,4.16,13.86,20.0,0,0,0,9,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
27,949,32995,Clayton Brunsdon,4100291,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,5432,9,7,35.5,210,7,37/ 3,2,128,5.86,30.00,30.7,0,0,0,1,0,2025/2026 TITANS SECOND LEAGUE
,949,32995,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,,,,,2025/2026 TITANS SECOND LEAGUE
28,949,32995,Rivan Stoman,6352780,SINOVILLE 3,,SINOVILLE 3,5429,4,4,16.5,123,7,31/ 4,1,56,7.31,17.57,14.4,1,1,0,17,0,2025/2026 TITANS SECOND LEAGUE
