SNO,LEAGUE_ID,CLUB_ID,TEAM,TEAM_URL,TEAM_ID,TEAM_CLUB_ID,MAT,WON,LOST,NR,TIE,PTS,WIN%,NET RR,FOR,AGAINST,FOR_RUNS,FOR_OVERS,AGAINST_RUNS,AGAINST_OVERS,League Name
1,949,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5428&clubId=32995,5428,32995,14,9,3,2,0,40,75.00%,1.4425,2514/430.4,2270/516.3,2514,430.4,2270,516.3,2025/2026 TITANS SECOND LEAGUE
2,949,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5427&clubId=32995,5427,32995,14,8,3,3,0,38,72.73%,1.9979,1913/361.5,1428/434.1,1913,361.5,1428,434.1,2025/2026 TITANS SECOND LEAGUE
3,949,32995,TUT 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5431&clubId=32995,5431,32995,14,8,3,3,0,38,72.73%,1.0166,1745/362.1,1584/416.4,1745,362.1,1584,416.4,2025/2026 TITANS SECOND LEAGUE
4,949,32995,CBCOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5425&clubId=32995,5425,32995,13,5,3,5,0,30,62.50%,-0.1640,1224/341.3,1280/341.3,1224,341.3,1280,341.3,2025/2026 TITANS SECOND LEAGUE
5,949,32995,TUKS 5,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5430&clubId=32995,5430,32995,13,4,7,2,0,20,36.36%,0.1143,1781/395.2,1899/432.3,1781,395.2,1899,432.3,2025/2026 TITANS SECOND LEAGUE
6,949,32995,SINOVILLE 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5429&clubId=32995,5429,32995,14,3,7,4,0,20,30.00%,-1.4815,1542/410.0,1564/298.2,1542,410.0,1564,298.2,2025/2026 TITANS SECOND LEAGUE
7,949,32995,HARLEQUINS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5426&clubId=32995,5426,32995,14,3,8,3,0,18,27.27%,-2.1393,1524/480.0,1922/361.4,1524,480.0,1922,361.4,2025/2026 TITANS SECOND LEAGUE
8,949,32995,IRENE VILLAGERS 4,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=5432&clubId=32995,5432,32995,14,2,8,4,0,16,20.00%,-1.5129,1701/430.0,1997/365.1,1701,430.0,1997,365.1,2025/2026 TITANS SECOND LEAGUE
1,790,32995,PHSOB 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4555&clubId=32995,4555,32995,18,10,4,4,0,48,71.43%,0.4189,1751/455.0,1581/461.0,1751,455.0,1581,461.0,2024 Titans Second League
2,790,32995,IRENE VILLAGERS 3,https://cricclubs.com/TitansCricket/viewTeam.do?teamId=4554&clubId=32995,4554,32995,18,10,5,3,0,46,66.67%,0.6681,2653/549.4,2240/538.4,2653,549.4,2240,538.4,2024 Titans Second League
