SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s,League Name
1,Christian Strydom,TUKS 5,,TUKS 5,12,12,3,444,342,49.33,129.82,121,1,1,2,3,1,25,34,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
2,Aerton Helena,TUKS 5,,TUKS 5,7,7,1,431,334,71.83,129.04,165,1,0,2,2,0,8,48,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
3,Willem Sevenster,CBCOB 3,,CBCOB 3,11,8,0,273,200,34.12,136.50,64,0,0,2,3,0,8,39,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
4,Shaun Muirhead,CBCOB 3,,CBCOB 3,10,6,0,232,161,38.67,144.10,203,1,0,0,0,3,12,22,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
5,Dawie Kruger,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,7,1,198,226,33.00,87.61,100,1,0,1,1,0,5,14,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
6,Justin Van Bassen,PHSOB 3,,PHSOB 3,8,7,0,195,181,27.86,107.73,65,0,0,1,2,0,4,25,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
7,Gerhard De Bruin,TUKS 5,,TUKS 5,13,12,1,195,198,17.73,98.48,36,0,0,0,5,2,9,21,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
8,Chad Fortman,PHSOB 3,,PHSOB 3,7,7,0,185,218,26.43,84.86,80,0,1,1,2,0,3,23,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
9,Anton Stassen,SINOVILLE 4,,SINOVILLE 4,3,3,1,169,150,84.50,112.67,104,1,0,1,0,0,6,17,Titans Second League
,SINOVILLE 4,,,,,,,,,,,,,,,,,,,Titans Second League
10,Reynier Swart,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,10,9,0,166,253,18.44,65.61,41,0,0,0,3,1,0,19,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
11,Riccardo Oosthuizen,TUKS 5,,TUKS 5,7,6,0,165,186,27.50,88.71,74,0,0,1,1,0,1,18,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
12,Conrath Meiring,CBCOB 3,,CBCOB 3,4,2,1,157,96,157.00,163.54,120,1,0,0,1,0,5,24,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
13,Charl Prinsloo,TUT 3,,TUT 3,5,5,2,139,232,46.33,59.91,76,0,1,1,1,0,0,13,Titans Second League
,TUT 3,,,,,,,,,,,,,,,,,,,Titans Second League
14,Riaan von Bentheim,TUKS 5,,TUKS 5,7,7,0,134,117,19.14,114.53,41,0,0,0,2,0,10,11,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
15,Matt Rogerson,PHSOB 3,,PHSOB 3,8,7,1,131,139,21.83,94.24,90,0,1,1,1,2,4,13,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
16,Wayne Scott,CBCOB 3,,CBCOB 3,3,3,2,126,86,126.00,146.51,81,0,1,1,1,0,5,17,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
17,Gunter Geyer,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,4,0,126,105,31.50,120.00,70,0,0,1,2,1,7,10,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
18,Tiaan Engelbrecht,TUKS 5,,TUKS 5,10,7,3,126,129,31.50,97.67,38,0,0,0,1,0,0,14,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
19,Jacques Vosloo,PHSOB 3,,PHSOB 3,4,3,0,124,84,41.33,147.62,59,0,0,1,1,0,7,13,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
20,Ryno Joubert,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,10,9,0,124,189,13.78,65.61,38,0,0,0,1,1,0,12,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
21,Emil Rolfes,PHSOB 3,,PHSOB 3,3,3,2,123,98,123.00,125.51,64,0,0,1,1,0,2,12,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
22,Felix le Roux,PHSOB 3,,PHSOB 3,3,3,0,122,97,40.67,125.77,72,0,0,1,1,0,5,12,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
23,Bradley Joynt,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,0,121,79,60.50,153.16,119,1,0,0,0,0,8,11,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
24,Chris Koekemoer,CBCOB 3,,CBCOB 3,7,5,2,120,81,40.00,148.15,76,0,1,1,0,0,4,17,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
25,Uzair Vayani,PHSOB 3,,PHSOB 3,7,5,3,118,122,59.00,96.72,64,0,0,1,1,0,2,9,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
26,Kevin Pretorius,PHSOB 3,,PHSOB 3,3,3,1,115,76,57.50,151.32,63,0,0,1,2,0,8,9,Titans Second League
,PHSOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
27,Marius Bornman,TUKS 5,,TUKS 5,9,9,0,114,134,12.67,85.07,39,0,0,0,2,0,3,12,Titans Second League
,TUKS 5,,,,,,,,,,,,,,,,,,,Titans Second League
28,Bruce Crossey,CBCOB 3,,CBCOB 3,10,5,0,113,128,22.60,88.28,51,0,0,1,1,2,2,18,Titans Second League
,CBCOB 3,,,,,,,,,,,,,,,,,,,Titans Second League
29,Tiaan Dorfling,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,1,112,124,112.00,90.32,84,0,1,1,1,0,1,10,Titans Second League
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,Titans Second League
30,David Ewen,TUKS 6,,TUKS 6,5,4,0,107,116,26.75,92.24,75,0,1,1,0,0,1,14,Titans Second League
,TUKS 6,,,,,,,,,,,,,,,,,,,Titans Second League
