SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,MAT,TEAM,TEAM_ID,INS,OVERS,RUNS,WKTS,BBF,MDNS,DOTS,ECON,AVE,SR,HATTRICK,4W,5W,WIDES,NB,League Name
1,18,32995,Tiaan Engelbrecht,2936837,TUKS 5,,TUKS 5,10,,8,39.2,182,15,39/ 5,4,156,4.63,12.13,15.7,0,0,1,8,5,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
2,18,32995,Uzair Vayani,3018178,PHSOB 3,,PHSOB 3,7,,7,26.1,135,15,11/ 6,1,95,5.16,9.00,10.5,0,0,2,16,1,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
3,18,32995,Donovan Steinberg,2985796,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,,7,43.0,190,12,31/ 5,5,171,4.42,15.83,21.5,0,0,1,6,0,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
4,18,32995,Steven Meyburgh,2937220,PHSOB 3,,PHSOB 3,7,,7,32.0,141,11,18/ 5,2,115,4.41,12.82,17.5,1,0,1,12,0,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
5,18,32995,Jacques Joubert,2985795,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,9,,9,44.0,266,11,21/ 4,6,173,6.05,24.18,24.0,0,1,0,15,0,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
6,18,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,12,,9,44.0,273,11,78/ 3,1,147,6.20,24.82,24.0,0,0,0,21,0,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
7,18,32995,Victor Van Niekerk,2985801,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,6,,6,26.0,196,11,52/ 6,0,83,7.54,17.82,14.2,0,0,1,10,0,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
8,18,32995,Christo Swanepoel,2936900,PHSOB 3,,PHSOB 3,8,,8,39.1,202,9,0/ 2,4,143,5.16,22.44,26.1,0,0,0,12,0,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
9,18,32995,Dawie Kruger,2985805,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,,8,33.0,182,9,23/ 4,0,105,5.52,20.22,22.0,0,1,0,11,1,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
10,18,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,12,,11,40.5,287,9,38/ 3,0,151,7.03,31.89,27.2,0,0,0,29,0,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
11,18,32995,Dewald Basson,3018234,TUT 3,,TUT 3,6,,6,36.0,170,8,25/ 4,3,148,4.72,21.25,27.0,0,1,0,18,1,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
12,18,32995,Justin Fourie,2987524,PHSOB 3,,PHSOB 3,4,,4,19.0,90,8,37/ 5,1,75,4.74,11.25,14.2,0,0,1,7,0,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
13,18,32995,Adriaan Ferreira,2936919,PHSOB 3,,PHSOB 3,5,,5,22.0,109,8,11/ 3,4,88,4.95,13.62,16.5,0,0,0,12,0,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
14,18,32995,Andre Meintjes IV,2985799,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,6,,5,28.0,166,8,37/ 3,3,85,5.93,20.75,21.0,0,0,0,1,1,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,,,,,Titans Second League
15,18,32995,Samashan Naidoo,2990928,TUKS 5,,TUKS 5,1,,1,8.0,28,7,28/ 7,2,36,3.50,4.00,6.9,0,0,1,5,0,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,,,,,,,,,,Titans Second League
16,18,32995,Aerton Helena,2936841,TUKS 5,,TUKS 5,7,,5,23.0,116,7,10/ 2,4,75,5.04,16.57,19.7,0,0,0,2,0,Titans Second League
