SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,CATCHES,WK_CATCHES,DIRECT_RO,INDIRECT_RO,STUMPINGS,TOTAL,League Name
1,18,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,1860,8,0,2,0,0,10,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,Titans Second League
2,18,32995,Willem Sevenster,2049746,CBCOB 3,,CBCOB 3,1196,0,7,0,1,0,8,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,Titans Second League
3,18,32995,Martin Van Tonder,2840539,TUKS 5,,TUKS 5,1860,7,0,1,0,0,8,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,Titans Second League
4,18,32995,Justin Fourie,2987524,PHSOB 3,,PHSOB 3,1193,7,0,0,0,0,7,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,Titans Second League
5,18,32995,Uzair Vayani,3018178,PHSOB 3,,PHSOB 3,1193,5,2,0,0,0,7,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,Titans Second League
6,18,32995,Chad Fortman,2936899,PHSOB 3,,PHSOB 3,1193,6,0,0,0,0,6,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,Titans Second League
7,18,32995,Dawie Kruger,2985805,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,4,1,0,0,0,5,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,Titans Second League
8,18,32995,Riaan von Bentheim,3018175,TUKS 5,,TUKS 5,1860,1,4,0,0,0,5,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,Titans Second League
9,18,32995,Aerton Helena,2936841,TUKS 5,,TUKS 5,1860,4,0,0,0,0,4,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,Titans Second League
10,18,32995,Victor Van Niekerk,2985801,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,2,2,0,0,0,4,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,Titans Second League
11,18,32995,Gunter Geyer,2985804,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,4,0,0,0,0,4,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,Titans Second League
12,18,32995,Noele Saffar,2986862,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,4,0,0,0,0,4,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,Titans Second League
13,18,32995,Louis van Zyl,3003071,CBCOB 3,,CBCOB 3,1196,4,0,0,0,0,4,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,Titans Second League
14,18,32995,Chris Koekemoer,3069547,CBCOB 3,,CBCOB 3,1196,4,0,0,0,0,4,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,Titans Second League
15,18,32995,Devon Almeida,3242449,CBCOB 3,,CBCOB 3,1196,1,3,0,0,0,4,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,Titans Second League
16,18,32995,Tiaan Engelbrecht,2936837,TUKS 5,,TUKS 5,1860,3,0,1,0,0,4,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,Titans Second League
17,18,32995,Niel Coetzee,3018224,TUT 3,,TUT 3,1197,1,1,0,0,2,4,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,Titans Second League
18,18,32995,Gerhard De Bruin,2936835,TUKS 5,,TUKS 5,1860,3,0,0,0,0,3,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,Titans Second League
19,18,32995,Matimu Mayayise,2936840,TUKS 5,,TUKS 5,1860,3,0,0,0,0,3,Titans Second League
