SNO,LEAGUE_ID,CLUB_ID,PLAYER,PLAYER_ID,TEAM_IMG,BLANK,TEAM,TEAM_ID,MAT,BATTING_RANK,BOWLING_RANK,FIELDING_RANK,OTHER_RANK,MOM,TOTAL_RANK,League Name
1,18,32995,Aerton Helena,2936841,TUKS 5,,TUKS 5,1860,7,1323,380,40,200,4,1943,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
2,18,32995,Christian Strydom,2936847,TUKS 5,,TUKS 5,1860,12,1364,340,120,0,0,1824,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
3,18,32995,Uzair Vayani,3018178,PHSOB 3,,PHSOB 3,1193,7,309,560,70,150,3,1089,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
4,18,32995,Tiaan Engelbrecht,2936837,TUKS 5,,TUKS 5,1860,10,310,660,50,0,0,1020,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
5,18,32995,Willem Sevenster,2049746,CBCOB 3,,CBCOB 3,1196,11,854,0,80,0,0,934,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
6,18,32995,Donovan Steinberg,2985796,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,7,226,640,30,0,0,896,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
7,18,32995,Dawie Kruger,2985805,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,8,572,220,50,50,1,892,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
8,18,32995,Shaun Muirhead,2889022,CBCOB 3,,CBCOB 3,1196,10,724,10,20,50,1,804,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
9,18,32995,Riccardo Oosthuizen,2936842,TUKS 5,,TUKS 5,1860,7,403,270,30,50,1,753,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
10,18,32995,Chad Fortman,2936899,PHSOB 3,,PHSOB 3,1193,7,454,180,60,50,1,744,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
11,18,32995,Anton Stassen,3069496,SINOVILLE 4,,SINOVILLE 4,1200,3,584,0,20,100,2,704,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
12,18,32995,Andre Meintjes IV,2985799,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,6,261,350,20,50,1,681,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
13,18,32995,Jacques Erasmus,3056082,SINOVILLE 4,,SINOVILLE 4,1200,3,581,0,30,50,1,661,Titans Second League
,18,32995,SINOVILLE 4,,,,,,,,,,,,,Titans Second League
14,18,32995,Chris Koekemoer,3069547,CBCOB 3,,CBCOB 3,1196,7,427,120,40,50,1,637,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
15,18,32995,Justin Van Bassen,2936896,PHSOB 3,,PHSOB 3,1193,8,538,0,30,50,1,618,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
16,18,32995,Gerhard De Bruin,2936835,TUKS 5,,TUKS 5,1860,13,494,80,30,0,0,604,Titans Second League
,18,32995,TUKS 5,,,,,,,,,,,,,Titans Second League
17,18,32995,Reynier Swart,2985798,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,10,295,260,30,0,0,585,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
18,18,32995,Wayne Scott,3056109,CBCOB 3,,CBCOB 3,1196,3,435,80,20,50,1,585,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
19,18,32995,Steven Meyburgh,2937220,PHSOB 3,,PHSOB 3,1193,7,39,460,30,50,1,579,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
20,18,32995,Jacques Joubert,2985795,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,9,-5,530,10,0,0,535,Titans Second League
,18,32995,IRENE VILLAGERS 3,,,,,,,,,,,,,Titans Second League
21,18,32995,Conrath Meiring,2987575,CBCOB 3,,CBCOB 3,1196,4,511,0,10,0,0,521,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
22,18,32995,Louis van Zyl,3003071,CBCOB 3,,CBCOB 3,1196,6,168,260,40,50,1,518,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
23,18,32995,Juan Van den berg,2987480,SINOVILLE 3,,SINOVILLE 3,1194,6,-10,490,30,0,0,510,Titans Second League
,18,32995,SINOVILLE 3,,,,,,,,,,,,,Titans Second League
24,18,32995,Justin Fourie,2987524,PHSOB 3,,PHSOB 3,1193,4,52,320,70,50,1,492,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
25,18,32995,Stefan Grobler,3018230,TUT 3,,TUT 3,1197,6,332,100,10,50,1,492,Titans Second League
,18,32995,TUT 3,,,,,,,,,,,,,Titans Second League
26,18,32995,Micheal van der Westhuizen,3069551,CBCOB 3,,CBCOB 3,1196,5,0,430,10,50,1,490,Titans Second League
,18,32995,CBCOB 3,,,,,,,,,,,,,Titans Second League
27,18,32995,Christo Swanepoel,2936900,PHSOB 3,,PHSOB 3,1193,8,38,420,30,0,0,488,Titans Second League
,18,32995,PHSOB 3,,,,,,,,,,,,,Titans Second League
28,18,32995,Bradley Joynt,3015414,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1195,2,416,0,10,50,1,476,Titans Second League
