SNO,PLAYER,TEAM_IMG,BLANK,TEAM,MAT,INS,NO,RUNS,BALLS,AVG,SR,HS,100s,75s,50s,25s,0s,6s,4s
1,Stefan Strydom,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,12,11,1,416,392,41.60,106.12,87,0,1,3,4,0,12,50
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
2,Brian Kershaw,PHSOB 3,,PHSOB 3,9,9,1,393,381,49.12,103.15,76,0,1,4,2,1,21,33
,PHSOB 3,,,,,,,,,,,,,,,,,,
3,Waldemar Bodenstein,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,10,10,2,234,292,29.25,80.14,74,0,0,2,1,2,4,29
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
4,Werner Pretorius,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,3,3,0,215,144,71.67,149.31,153,1,0,1,0,0,18,11
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
5,Francke Botha,HARLEQUINS 3,,HARLEQUINS 3,4,4,0,215,222,53.75,96.85,100,1,0,1,0,0,6,24
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
6,Hendrik Ferreira,TUT 3,,TUT 3,7,6,1,208,241,41.60,86.31,84,0,1,2,1,1,8,18
,TUT 3,,,,,,,,,,,,,,,,,,
7,Christian Strydom,TUKS 5,,TUKS 5,10,10,2,201,236,25.12,85.17,56,0,0,1,2,1,3,24
,TUKS 5,,,,,,,,,,,,,,,,,,
8,Donovan du Toit,TUKS 5,,TUKS 5,9,7,0,199,212,28.43,93.87,76,0,1,1,3,0,12,17
,TUKS 5,,,,,,,,,,,,,,,,,,
9,Michael Kershaw,PHSOB 3,,PHSOB 3,9,9,2,198,169,28.29,117.16,57,0,0,1,1,0,13,19
,PHSOB 3,,,,,,,,,,,,,,,,,,
10,Johan Nel,TUKS 5,,TUKS 5,10,10,1,190,192,21.11,98.96,81,0,1,1,1,1,8,22
,TUKS 5,,,,,,,,,,,,,,,,,,
11,Rivan Stoman,SINOVILLE 3,,SINOVILLE 3,4,4,0,189,154,47.25,122.73,130,1,0,0,1,0,9,22
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
12,Juan Viljoen,HARLEQUINS 3,,HARLEQUINS 3,11,11,1,180,190,18.00,94.74,36,0,0,0,4,0,3,19
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
13,Charl Prinsloo,TUT 3,,TUT 3,7,6,3,177,287,59.00,61.67,63,0,0,1,3,0,0,25
,TUT 3,,,,,,,,,,,,,,,,,,
14,Brent Hartley,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,12,11,1,177,365,17.70,48.49,37,0,0,0,3,0,0,20
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
15,Emil Rolfes,PHSOB 3,,PHSOB 3,8,8,1,171,195,24.43,87.69,97,0,1,1,1,2,1,26
,PHSOB 3,,,,,,,,,,,,,,,,,,
16,Eddie Stephen,HARLEQUINS 3,,HARLEQUINS 3,7,7,1,167,142,27.83,117.61,95,0,1,1,1,1,11,17
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
17,Reinhardt Hamann,TUKS 5,,TUKS 5,5,5,1,165,123,41.25,134.15,69,0,0,2,1,1,8,13
,TUKS 5,,,,,,,,,,,,,,,,,,
18,Nicolas Conradie,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,5,5,1,162,178,40.50,91.01,122,1,0,0,0,0,8,11
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
19,Stefan Van Der Linden,PHSOB 3,,PHSOB 3,10,9,0,158,275,17.56,57.45,50,0,0,1,2,2,5,9
,PHSOB 3,,,,,,,,,,,,,,,,,,
20,Ciaron Roundtree,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,7,1,148,119,24.67,124.37,78,0,1,1,1,1,15,4
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
21,Wayne Sadler,TUKS 5,,TUKS 5,8,7,2,146,203,29.20,71.92,83,0,1,1,0,1,4,14
,TUKS 5,,,,,,,,,,,,,,,,,,
22,Frits Snyman,TUKS 5,,TUKS 5,9,8,0,144,206,18.00,69.90,59,0,0,1,0,1,2,16
,TUKS 5,,,,,,,,,,,,,,,,,,
23,Arno Louw,SINOVILLE 3,,SINOVILLE 3,5,5,0,141,194,28.20,72.68,62,0,0,1,2,0,3,16
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
24,Henco Murphy,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,8,8,3,139,180,27.80,77.22,47,0,0,0,2,2,7,14
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
25,Dylan Howe-Dreyer,PHSOB 3,,PHSOB 3,6,6,0,134,169,22.33,79.29,76,0,1,1,1,1,3,17
,PHSOB 3,,,,,,,,,,,,,,,,,,
26,Ryno Vermaak,SINOVILLE 3,,SINOVILLE 3,5,5,1,131,122,32.75,107.38,94,0,1,1,1,2,3,11
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
27,Ludwig Erasmus,SINOVILLE 3,,SINOVILLE 3,2,2,0,126,100,63.00,126.00,89,0,1,1,1,0,4,18
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
28,Ruan Ebersohn,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,11,9,0,124,226,13.78,54.87,43,0,0,0,1,0,1,15
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
29,Werner Pretorius,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,6,5,1,123,63,30.75,195.24,38,0,0,0,3,1,10,8
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
30,Tihardt Kruger,TUKS 5,,TUKS 5,11,10,1,120,166,13.33,72.29,31,0,0,0,1,2,3,12
,TUKS 5,,,,,,,,,,,,,,,,,,
31,Niel Coetzee,TUT 3,,TUT 3,8,6,1,116,244,23.20,47.54,42,0,0,0,2,0,0,13
,TUT 3,,,,,,,,,,,,,,,,,,
32,David Fourie,CBCOB 3,,CBCOB 3,3,2,0,113,104,56.50,108.65,94,0,1,1,0,0,4,10
,CBCOB 3,,,,,,,,,,,,,,,,,,
33,Faf De Villiers,HARLEQUINS 3,,HARLEQUINS 3,3,3,0,112,140,37.33,80.00,98,0,1,1,0,1,2,10
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
34,Stefan Olivier,TUT 3,,TUT 3,6,5,0,108,125,21.60,86.40,37,0,0,0,2,0,1,16
,TUT 3,,,,,,,,,,,,,,,,,,
35,Martin Van Tonder,TUKS 5,,TUKS 5,12,10,0,108,169,10.80,63.91,28,0,0,0,1,0,1,11
,TUKS 5,,,,,,,,,,,,,,,,,,
36,Henry Cbc,CBCOB 3,,CBCOB 3,4,4,0,107,138,26.75,77.54,45,0,0,0,2,0,4,10
,CBCOB 3,,,,,,,,,,,,,,,,,,
37,Stefan Grobler,TUT 3,,TUT 3,8,5,1,106,61,26.50,173.77,50,0,0,1,0,0,8,10
,TUT 3,,,,,,,,,,,,,,,,,,
38,Callen Stephen,PHSOB 3,,PHSOB 3,4,4,0,105,147,26.25,71.43,59,0,0,1,1,0,2,12
,PHSOB 3,,,,,,,,,,,,,,,,,,
39,Rohann Rossouw,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,7,7,0,105,165,15.00,63.64,39,0,0,0,1,1,2,8
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
40,Logan Weetman,PHSOB 3,,PHSOB 3,1,1,0,103,63,103.00,163.49,103,1,0,0,0,0,6,12
,PHSOB 3,,,,,,,,,,,,,,,,,,
41,Kyle Kunneke,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,10,7,5,103,172,51.50,59.88,32,0,0,0,3,0,1,9
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
42,Patrick Mouton,HARLEQUINS 3,,HARLEQUINS 3,1,1,0,100,94,100.00,106.38,100,1,0,0,0,0,2,10
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
43,Tiaan Engelbrecht,TUKS 5,,TUKS 5,11,8,0,99,108,12.38,91.67,30,0,0,0,1,0,4,8
,TUKS 5,,,,,,,,,,,,,,,,,,
44,Hayden Van Den Heever,PHSOB 3,,PHSOB 3,5,5,1,96,118,24.00,81.36,33,0,0,0,2,0,4,10
,PHSOB 3,,,,,,,,,,,,,,,,,,
45,Henco Murphy,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,2,2,0,94,92,47.00,102.17,69,0,0,1,1,0,7,7
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
46,PJ Van Der Merwe,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,7,6,1,92,160,18.40,57.50,50,0,0,1,0,1,2,6
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
47,Kopano Thema,HARLEQUINS 3,,HARLEQUINS 3,5,5,1,85,106,21.25,80.19,59,0,0,1,0,0,1,11
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
48,Arno Kruger,PHSOB 3,,PHSOB 3,7,7,1,78,80,13.00,97.50,42,0,0,0,1,1,4,8
,PHSOB 3,,,,,,,,,,,,,,,,,,
49,Johan Broekman,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,76,60,76.00,126.67,76,0,1,1,0,0,2,7
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
50,Alec Jordaan,CBCOB 3,,CBCOB 3,3,3,1,76,71,38.00,107.04,49,0,0,0,1,0,5,6
,CBCOB 3,,,,,,,,,,,,,,,,,,
51,Brandon Polyblank,IRENE VILLAGERS 4,,IRENE VILLAGERS 4,9,7,2,75,131,15.00,57.25,25,0,0,0,1,0,1,4
,IRENE VILLAGERS 4,,,,,,,,,,,,,,,,,,
52,Marko De Cock,PHSOB 3,,PHSOB 3,3,3,0,73,26,24.33,280.77,51,0,0,1,0,1,9,4
,PHSOB 3,,,,,,,,,,,,,,,,,,
53,Adriaan Venter,CBCOB 3,,CBCOB 3,3,3,0,73,67,24.33,108.96,55,0,0,1,0,0,1,12
,CBCOB 3,,,,,,,,,,,,,,,,,,
54,Jan De Klerk,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,1,1,0,72,86,72.00,83.72,72,0,0,1,0,0,2,8
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
55,Willie Kamffer,HARLEQUINS 3,,HARLEQUINS 3,6,5,0,72,160,14.40,45.00,58,0,0,1,0,1,1,8
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
56,Joubert Eybers,PHSOB 3,,PHSOB 3,3,2,1,71,85,71.00,83.53,69,0,0,1,0,0,3,5
,PHSOB 3,,,,,,,,,,,,,,,,,,
57,Dewet Lombard,TUT 3,,TUT 3,2,2,0,70,70,35.00,100.00,36,0,0,0,2,0,3,5
,TUT 3,,,,,,,,,,,,,,,,,,
58,Liam Armstrong,PHSOB 3,,PHSOB 3,5,4,0,70,104,17.50,67.31,39,0,0,0,1,0,0,11
,PHSOB 3,,,,,,,,,,,,,,,,,,
59,Rykers Voges,CBCOB 3,,CBCOB 3,6,6,0,68,112,11.33,60.71,39,0,0,0,1,2,0,6
,CBCOB 3,,,,,,,,,,,,,,,,,,
60,Jeandre Roux,TUT 3,,TUT 3,5,3,0,67,99,22.33,67.68,45,0,0,0,1,0,0,8
,TUT 3,,,,,,,,,,,,,,,,,,
61,Karel Vd Walt,HARLEQUINS 3,,HARLEQUINS 3,6,6,1,67,101,13.40,66.34,24,0,0,0,0,1,1,8
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
62,JJ Lesolang,PHSOB 3,,PHSOB 3,3,1,0,66,41,66.00,160.98,66,0,0,1,0,0,4,3
,PHSOB 3,,,,,,,,,,,,,,,,,,
63,Johan Broekman,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,4,0,66,100,16.50,66.00,32,0,0,0,1,0,1,7
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
64,Gary Van Blerk,TUT 3,,TUT 3,8,5,0,65,99,13.00,65.66,37,0,0,0,1,0,1,7
,TUT 3,,,,,,,,,,,,,,,,,,
65,JD van Wyk,SINOVILLE 3,,SINOVILLE 3,4,4,1,62,82,20.67,75.61,32,0,0,0,2,1,0,9
,SINOVILLE 3,,,,,,,,,,,,,,,,,,
66,Dylan Cutting,HARLEQUINS 3,,HARLEQUINS 3,2,2,1,61,63,61.00,96.83,38,0,0,0,1,0,2,7
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
67,Neil Jansen,IRENE VILLAGERS 3,,IRENE VILLAGERS 3,4,3,2,61,73,61.00,83.56,49,0,0,0,1,0,2,7
,IRENE VILLAGERS 3,,,,,,,,,,,,,,,,,,
68,Ruan Coetzer,HARLEQUINS 3,,HARLEQUINS 3,10,9,2,61,84,8.71,72.62,37,0,0,0,1,0,2,3
,HARLEQUINS 3,,,,,,,,,,,,,,,,,,
69,Neiko Stigling,TUT 3,,TUT 3,4,3,1,55,54,27.50,101.85,24,0,0,0,0,0,1,6
,TUT 3,,,,,,,,,,,,,,,,,,
70,Janro De Bruin,CBCOB 3,,CBCOB 3,8,6,2,55,102,13.75,53.92,19,0,0,0,0,2,0,8
,CBCOB 3,,,,,,,,,,,,,,,,,,
